Country_Name,ISO,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,AFG,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,33,33,33,33,33,33,33,33,32,33,34,34,34,34,34,35,35,35,35,35,35,35,35,35,34,34,34,34,35,35,35,34,34,33,32,33,33,34,34,32,33
Albania,ALB,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,32,32,32,32,32,32,32,32,32,32,45,45,45,45,44,46,48,49,49,49,49,49,49,50,52,52,54,55,55,55,55,55,55,55,54,53,53
Algeria,DZA,38,38,39,39,39,38,41,41,41,43,42,43,42,43,44,47,45,45,47,47,47,47,48,47,46,45,47,48,48,48,47,48,46,45,47,48,46,46,46,46,48,47,48,48,49,49,48,49,48,47,49,49,48,48,48,48
American Samoa,ASM,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,19,19,19,19,19,18,18,18,18,18,18,18,18,18,18,18,18,18,18
Angola,AGO,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,26,29,29,29,29,29,29,29,30,30,30,30,30,30,30,30,27,27
Antigua and Barbuda,ATG,14,14,14,15,16,21,22,22,22,23,23,22,22,22,23,23,21,22,23,23,23,23,22,23,23,23,23,23,23,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,21,21
Argentina,ARG,60,61,62,62,62,59,60,60,60,60,62,62,61,62,61,61,60,61,62,61,61,60,61,60,60,60,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,60,60
Armenia,ARM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,29,28,29,30,29,31,30,30,29,30,31,32,36,37,37,38,37,37,38,38,38,38,39,39,37
Australia,AUS,55,56,56,55,57,57,56,57,55,55,57,57,56,55,56,56,56,57,58,59,60,60,61,64,65,66,66,66,67,67,68,67,68,67,67,67,67,67,67,67,66,67,67,66,67,69,69,70,69,70,69,70,68,68,68,68
Austria,AUT,43,43,43,43,43,43,42,43,44,44,44,44,44,44,40,44,43,44,44,44,43,43,42,42,43,43,43,43,44,40,41,41,42,42,46,47,47,48,48,48,49,50,51,51,51,51,51,51,51,50,51,51,50,50,49,50
Azerbaijan,AZE,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44,43,45,43,45,47,43,47,50,51,53,51,50,53,53,53,52,52,53,54,54,54,53,53,53
