Country_Name,ISO,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,AFG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.21656865036941,13.0980547167358,4.22273621248266,3.49669153075138,5.48962594473581,7.28728129559621,11.3829488101898,9.44429881539402,12.9459651261473,NaN,15.5984325497545,NaN,NaN,NaN
Albania,ALB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,26.4678510471658,34.0769169111715,24.9582864596257,32.5123621251923,39.4765506903442,41.0930660633086,45.1071106837303,49.0403465607256,39.4286139882186,44.8226538787887,49.6668427163671,55.7076457376814,NaN,NaN,NaN,60.6483037265716,56.6045474523067,44.8784342888658,61.5172716581083,64.072923711454,62.645320571572,NaN
Algeria,DZA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,160.639685973459,175.36849016716,190.490179370053,216.851311022312,245.222537866128,285.254409117601,333.588247891476,373.078867488717,263.197398126651,843.301298538855,527.31311240374,574.961173796711,775.040112613233,NaN,NaN,NaN,NaN,NaN
American Samoa,ASM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Angola,AGO,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Antigua and Barbuda,ATG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Argentina,ARG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3002.19917204293,3695.7760865748,5080.12496945405,5254.81210821763,3894.14603132315,3103.20316845681,2682.51765186322,2966.12740314489,2636.28641207466,2323.2209608998,2246.12649595743,653.48214807533,499.535164265608,617.99726049138,862.038814288407,1268.00752875245,4346.97974205872,8020.10884112023,5907.78577908115,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Armenia,ARM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Australia,AUS,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5340.15592736435,7109.95062694764,3320.85874497387,3295.46308009267,5495.82475488131,3773.92943823027,4529.07015466012,4285.94677567224,6565.59627193427,3933.47943132976,3300.90003761645,3826.5866845751,4636.69122347757,5019.53265814728,7986.31499946105,7940.06990374444,11055.4423204731,8702.57076146875,7515.46521815829,7587.32927796652,11003.9915957721,8988.16286734837,16398.1568761756,13755.738612963,13022.1071986698,NaN
Austria,AUT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11875.5743564497,14796.0394587916,14149.8722245094,14021.6103757131,16819.5223487485,10880.0770582859,8880.08628788098,9336.81548616182,8399.9765904583,6926.05492907022,7478.65546602781,8264.94646669439,10232.7383630857,12185.3349593874,10890.5501379749,10360.3873956341,9521.97337754942,10995.1678620693,10620.0899064817,9601.4307108375,10003.4935927755,9307.59900870095,9023.65599419865,8427.86097170363,6683.18699986012,NaN
