Country_Name,ISO,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,AFG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,207.050100604345,203.954004650682,173.72560642349,198.161597292583,194.255145105008,262.338108071454,224.123874617524,312.699888019997,348.122476877147,329.633835295692,368.802339635263,328.764817698636,302.65718483082,248.923992880984,245.527706182023
Albania,ALB,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,215.549521904381,160.9158296297,283.965129851061,461.687765663926,563.064462616219,749.89085239847,496.621518479901,534.063618330861,645.400381510497,693.499635377708,751.298435897364,793.529481539319,1003.4869719183,1296.64354925104,1406.23476616327,1479.27522032685,1779.29188655649,2092.4687318407,2038.89636275079,2016.16454614523,2009.38527490545,1794.54685090138,2163.71565773665,2247.20636781272,1917.65714719517,1990.32844244862
Algeria,DZA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1462.58922575177,1536.5808633154,1463.20648127499,1100.63897073268,1190.26570544302,1481.97200593757,1236.61948542669,1289.90367749044,1240.77167244071,1312.15373061778,1335.0005967506,1249.26784929437,1513.74414290343,1724.33358893806,1982.8114387902,2196.82769775228,2544.4706706343,2974.73905789471,2851.64102446757,3446.44565197657,4669.91547544263,5284.52166763702,6134.64299591082,5836.12719881147,4734.01561882861,4432.46299111669
American Samoa,ASM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Angola,AGO,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Antigua and Barbuda,ATG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Argentina,ARG,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,337944.220999655,301798.024553003,272304.591855625,294642.445755676,244566.384678517,186008.161054995,168429.729547222,176026.009949535,178938.359399621,191726.370935976,153410.366901743,52235.095253068,42832.779527473,43409.1383506225,62773.6313757993,77212.4092701792,102869.940053601,91832.2535057223,63324.1440217247,97367.815509869,212406.841694209,193907.433440038,205912.663545073,230323.371287461,281154.029997965,237575.456454405
Armenia,ARM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,495.119762046773,445.083983253816,363.626225270192,394.569190318448,427.172173070749,478.138941762212,479.780992248608,542.656927440412,545.936555809137,518.735091371118,565.604212251538,583.155355078894,646.15278514508,848.139277194509,1140.27129471208,1333.51000588795,2014.05281550081,2480.53137828406,2174.4503945984,1864.21700376165,2108.30286707581,2285.24800304048,2464.26179822647,2743.39914190101,2718.69233376196,2622.92000720417
Australia,AUS,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,40527.5632071841,38480.2993598182,36294.1804362128,37265.1090647704,34106.4956217544,41206.7000794974,44587.8714720972,39610.8282282012,39154.5468143388,41784.2712044923,37804.4733263903,40713.2169727453,39462.654226365,62643.155624516,70899.787560278,74626.794805631,68035.351227979,85524.3121210316,81534.0159255843,98862.3763864456,129927.945247766,139107.133897499,136789.366853257,115102.076129701,111306.96906818,91107.2948265024
Austria,AUT,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18563.0710909369,19985.1971778444,18996.6234511551,19515.1611515414,21678.8725284405,20639.5987403904,19317.9682491492,20978.9443403351,21597.2257008032,18165.155914924,18481.370560491,18565.7533692603,22332.8451935621,30699.7158012137,27091.3177369357,25946.8348215494,28930.9386542532,33687.3744121014,29109.967774922,26562.4142762029,32914.4682902234,28952.1416571678,28918.3445794034,28193.5665139451,24757.5322508724,26108.4501904425
