Country_Name,ISO,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,AFG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31323128023115,0.178876250643512,0.277414338128609,0,1.12393152181628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
Albania,ALB,5.62088590775487,5.66110339655601,5.43711879384252,5.84416312736378,7.99712343191174,7.02350632355528,8.50892103392714,16.3087988681654,17.57819303487,19.7281631322424,20.6049155299565,19.666480964486,19.3121552696064,22.0303852797388,23.3959159659442,19.6959194829995,18.0923352032601,19.3597344269669,19.1564182199571,18.5410655378392,7.31368097788901,24.6807028512843,21.5331655494696,16.8424540071824,16.1750023888085,16.0695721220911,23.5221976940657,22.7313192502258,22.8046031413044,25.1038254922583,16.1160917789804,17.9056825926179,7.25411077594532,11.0666041396705,10.2845812185291,9.17924434554445,8.28520240569605,13.8761553399235,12.9012896077533,12.9525238798956,15.6488735220952,31.7332085222336,34.6375102361225,37.3157116400226,38.5380951644851,33.2557522265824,33.6032211701299,26.3998340284823,30.2146909433325,35.2540342424025,33.714905880276,31.9962920564181,34.0909480030934,35.8288795957078,NaN,NaN
Algeria,DZA,2.15511079758445,0.915397064292882,0.356939946990322,1.04795007307799,0.18744638937206,2.38773494669043,1.77151644054963,1.62539363874756,1.68102026739784,3.85173522947834,7.06463006193248,7.76517996124806,7.84255541261212,7.09993143223763,4.73698579694745,6.9924896498551,7.09518560206282,9.28900505945281,7.88840515101916,10.3615324195071,6.97944076559491,6.36330055385749,8.43210265010236,9.58178683343784,11.3468328282561,9.61047880612754,10.4996770346652,7.63775468241172,3.58207595769953,2.70403397407499,0.121346253232649,0.586338157333886,3.10629665738957,5.04809002474117,0,0,5.21365458478464,0.724741666640114,1.07187599622614,2.9730920829954,1.72794385872798,0.847615298882371,0,2.72655867431391,0.31281300720509,0,2.44924705565754,0,0,1.08943488511343,0.0541047424194823,0.797240677280187,1.41389395461711,3.67268939355903,NaN,NaN
American Samoa,ASM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
Angola,AGO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.377234537091773,0,0,0,0,0,0,0,0.577397220059243,0,0,0.370169537311091,0.782119805393681,0.117274246893898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
Antigua and Barbuda,ATG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.74527227874915,11.4812239605816,9.48472859572057,10.8620085544899,10.4045649843771,9.29755981226178,9.4225577326126,10.2078882568996,4.73615124901676,5.09568378412006,5.09811352066723,5.47054821076567,5.14912879563552,NaN,NaN
Argentina,ARG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
Armenia,ARM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.42639788802036,0,0,0,0,0,0,0,0.0300155975471108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN
Australia,AUS,25.3431520572735,21.8934371924288,23.7035681706808,31.2758008868028,36.6002612040051,30.409731109903,27.9386625065632,22.991781036485,23.6178407911875,24.6876850838681,25.2694806765299,32.1894452097824,34.4675733536035,14.598212822456,10.9246531699447,15.9028772753077,15.8778140980376,15.2432142263623,17.2419297298968,16.5900614646312,13.1278333849794,13.7655697844138,10.3105615647307,11.2961156266471,9.94923388411809,11.5075923965731,16.9802430191093,16.1252515795806,15.0025432440242,9.38492364197141,12.871095829341,13.0009839335192,12.2514487203304,17.6499781372347,15.2920403993918,12.7969322887111,15.0177741339763,12.46707901662,11.7500390835147,12.9572520642789,12.3226763882618,12.894462530107,9.83861527580285,12.6269751984958,10.8681710982993,11.5155412345848,11.7406019217367,7.93433662362664,4.86502808342838,8.03301735432287,6.67577141692774,5.94095162760133,6.75867445329929,7.73502331475211,NaN,NaN
Austria,AUT,37.6367519835132,42.9141174154569,46.2608748170627,45.392720419353,50.0540026229703,45.3296981509657,50.5827719899677,40.0393772141091,49.9774127527913,41.8542929771774,45.7491057366544,42.0706122859333,40.2075202263887,27.8780651458743,24.8462912212866,27.218002339955,29.1834856850734,28.5330337694963,29.3002379836688,28.3865841976778,27.2056603619245,22.911487019214,26.7898113359381,26.1239320483132,23.7515768591998,19.3416203546187,18.1215838806357,17.9669482539831,15.565626066011,17.3336138309081,16.7026945783675,15.7721387874487,15.6709849262758,12.8161415970774,12.5821835666772,14.9856707107528,12.246652344186,12.3805898015359,9.41721758211034,10.4004370879241,9.62152674500298,21.3655925744585,6.76973272323375,5.45020109862421,5.80907614580162,7.11223096011809,3.48129172608727,1.21136786082262,0,0.0699690805399401,0,0,0,0,NaN,NaN
